STS_ID,STS_ID_CONSTR1,STS_ID_CONSTR2,STS_ID_WEIGHT,CONSTRUCTION_TYPE,GROWTH_RATE_FREQ,GROWTH_TYPE,AGGREGATION,THRESHOLD_PROP,SCALING,COMMENTS
FBS.PCS.VGT.KCD,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.VGT.KCD3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.VGT.KCDI,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.VGT.KCDI3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.VGT.KCD3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.SDES.VGT.PCT3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.FEW.KCD,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.FEW.KCD3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.FEW.KCDI,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.FEW.KCDI3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.FEW.KCD3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.SDES.FEW.PCT3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.AB.KCD,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.AB.KCD3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.AB.KCDI,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.AB.KCDI3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.AB.KCD3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.SDES.AB.PCT3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.STM.KCD,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.STM.KCD3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
