,,,,,,,,Capture production,,,,,,Aquaculture production,,,,,
Continent_en,Continent_code,Geographical _regions_en,Geographical _regions,Join,Country_en,UN_code,Published,"2000
Oceania,009,Australia and New Zealand,053,009-053 Total,,,1,744,600,599,2,597,-1.7,117,177,173,2,172,3.0
Oceania,009,Australia and New Zealand,053,009-053,Australia,036,1,190,159,157,1,155,-1.5,32,77,76,1,75,7.0
Oceania,009,Australia and New Zealand,053,009-053,New Zealand,554,1,553,441,442,1,441,-1.7,86,100,97,1,97,1.0
Oceania,009,Australia and New Zealand,053,009-053,Norfolk Island,574,1,0,0,0,0,0,,,,,,,
Oceania,009,Melanesia,054,009-054 Total,,,1,244,405,354,16,338,2.9,4,4,4,2,2,0.8
Oceania,009,Melanesia,054,009-054,"Fiji, Republic of",242,1,41,45,43,3,40,0.4,2,0,0,0,0,-15.4
Oceania,009,Melanesia,054,009-054,New Caledonia,540,1,3,4,4,0,4,0.6,2,2,2,0,2,-0.8
Oceania,009,Melanesia,054,009-054,Papua New Guinea,598,1,110,257,213,14,200,5.2,0,2,2,2,0,19.0
Oceania,009,Melanesia,054,009-054,Solomon Islands,090,1,20,39,37,0,37,5.0,0,0,0,0,0,-14.4
Oceania,009,Melanesia,054,009-054,Vanuatu,548,1,70,61,57,0,57,-1.6,0,0,0,0,0,
Oceania,009,Micronesia,057,009-057 Total,,,1,70,208,213,0,213,9.0,0,0,0,0,0,-3.0
Oceania,009,Micronesia,057,009-057,Guam,316,1,1,1,1,0,1,1.4,0,0,0,0,0,-5.6
Oceania,009,Micronesia,057,009-057,Kiribati,296,1,35,83,93,0,93,7.7,0,0,0,0,0,-1.8
Oceania,009,Micronesia,057,009-057,Marshall Islands,584,1,8,75,81,0,81,19.2,,,,,,
Oceania,009,Micronesia,057,009-057,"Micronesia,Fed.States of",583,1,23,47,36,0,36,3.4,0,0,0,,0,
Oceania,009,Micronesia,057,009-057,Nauru,520,1,0,0,1,,1,2.5,0,0,0,,0,
Oceania,009,Micronesia,057,009-057,Northern Mariana Is.,580,1,0,0,1,0,1,8.3,0,0,0,0,0,
Oceania,009,Micronesia,057,009-057,Palau,585,1,1,1,1,0,1,-1.5,0,0,0,,0,19.3
Oceania,009,Polynesia,061,009-061 Total,,,1,29,58,50,0,50,4.3,0,0,0,0,0,3.6
Oceania,009,Polynesia,061,009-061,American Samoa,016,1,1,6,3,0,3,10.8,0,0,0,0,,11.3
Oceania,009,Polynesia,061,009-061,Cook Islands,184,1,1,8,4,0,4,11.0,0,0,0,0,0,
Oceania,009,Polynesia,061,009-061,French Polynesia,258,1,14,14,14,0,14,0.1,0,0,0,0,0,4.1
Oceania,009,Polynesia,061,009-061,Niue,570,1,0,0,0,0,0,-12.0,,,,,,
Oceania,009,Polynesia,061,009-061,Pitcairn Islands,612,1,0,0,0,0,0,-3.9,,,,,,
Oceania,009,Polynesia,061,009-061,Samoa,882,1,9,12,11,0,11,2.1,0,0,0,0,0,12.0
Oceania,009,Polynesia,061,009-061,Tokelau,772,1,0,0,0,0,0,1.7,,,,,,
Oceania,009,Polynesia,061,009-061,Tonga,776,1,4,2,2,0,2,-5.5,0,0,0,,0,
Oceania,009,Polynesia,061,009-061,Tuvalu,798,1,1,15,15,0,15,30.0,0,0,0,,0,
Oceania,009,Polynesia,061,009-061,Wallis and Futuna Is.,876,1,0,1,1,0,1,8.3,,,,,,
