,,,,,,,,Capture production,,,,,,Aquaculture production,,,,,
Continent_en,Continent_code,Geographical _regions_en,Geographical _regions,Join,Country_en,UN_code,Published,"2000
Africa,002,Western Africa,011,002-011,Benin,204,1,32,40,42,26,16,2.1,0,1,1,1,,
Africa,002,Western Africa,011,002-011,Burkina Faso,854,1,9,20,21,21,,7.0,0,0,0,0,,32.8
Africa,002,Western Africa,011,002-011,Cabo Verde,132,1,11,20,24,0,24,6.4,,,,,,
Africa,002,Western Africa,011,002-011,Côte d'Ivoire,384,1,80,79,78,7,71,-0.2,1,4,4,4,,9.1
Africa,002,Western Africa,011,002-011,Gambia,270,1,29,36,44,5,39,3.2,0,0,0,0,0,15.6
Africa,002,Western Africa,011,002-011,Ghana,288,1,452,375,298,90,208,-3.2,5,27,33,33,,15.5
Africa,002,Western Africa,011,002-011,Guinea,324,1,92,132,127,22,105,2.6,0,0,0,0,,0.0
Africa,002,Western Africa,011,002-011,Guinea-Bissau,624,1,6,7,7,0,6,0.3,,,,,,
Africa,002,Western Africa,011,002-011,Liberia,430,1,12,10,10,2,7,-1.5,0,0,0,0,,2.4
Africa,002,Western Africa,011,002-011,Mali,466,1,110,71,99,99,,-0.8,0,1,2,2,,39.2
Africa,002,Western Africa,011,002-011,Mauritania,478,1,114,438,293,15,278,7.5,,,,,,
Africa,002,Western Africa,011,002-011,Niger,562,1,16,47,45,45,,8.2,0,0,0,0,,22.0
Africa,002,Western Africa,011,002-011,Nigeria,566,1,441,669,721,339,382,3.9,26,254,279,279,0,20.1
Africa,002,Western Africa,011,002-011,Saint Helena,654,1,1,1,1,0,1,-1.7,,,,,,
Africa,002,Western Africa,011,002-011,Senegal,686,1,436,461,470,33,436,0.6,0,0,1,0,0,15.9
Africa,002,Western Africa,011,002-011,Sierra Leone,694,1,75,204,200,14,186,7.9,0,0,0,0,,7.8
Africa,002,Western Africa,011,002-011,Togo,768,1,22,19,20,5,15,-0.8,0,0,0,0,,0.0
Americas,019,,,019 Total,,,1,25723,18510,18878,544,18333,-2.4,1423,2978,3069,986,2083,6.1
Americas,019,Latin America,029,019-029 Total,,,1,19841,12336,12516,490,12026,-3.5,839,2385,2456,724,1732,8.6
Americas,019,Latin America,029,019-029,Anguilla,660,1,1,1,1,0,1,6.9,,,,,,
Americas,019,Latin America,029,019-029,Antigua and Barbuda,028,1,2,6,6,0,6,10.1,,,,,,
Americas,019,Latin America,029,019-029,Argentina,032,1,922,738,870,12,858,-0.4,2,3,4,4,0,6.0
Americas,019,Latin America,029,019-029,Aruba,533,1,0,0,0,0,0,-1.1,0,0,0,,0,0.0
Americas,019,Latin America,029,019-029,Bahamas,044,1,15,16,13,0,13,-1.4,0,0,0,0,0,0.0
Americas,019,Latin America,029,019-029,Barbados,052,1,3,1,3,0,3,-0.5,0,0,0,0,,0.0
Americas,019,Latin America,029,019-029,Belize,084,1,30,153,33,0,33,0.7,4,6,7,0,7,5.3
Americas,019,Latin America,029,019-029,Bolivia (Plurinat.State),068,1,6,7,7,7,,1.2,0,1,1,1,,7.8
Americas,019,Latin America,029,019-029,Bonaire/S.Eustatius/Saba,535,1,0,0,0,,0,0.0,0,0,0,,0,
Americas,019,Latin America,029,019-029,Brazil,076,1,667,843,765,239,527,1.1,172,480,473,389,84,8.1
Americas,019,Latin America,029,019-029,British Virgin Islands,092,1,0,1,1,0,1,29.2,,,,,,
Americas,019,Latin America,029,019-029,Cayman Islands,136,0,0,0,0,0,0,0.0,,,,,,
Americas,019,Latin America,029,019-029,Chile,152,1,4300,2573,1771,0,1771,-6.6,392,1071,1033,44,989,7.7
Americas,019,Latin America,029,019-029,Colombia,170,1,137,76,60,18,42,-6.2,62,90,89,85,5,2.9
Americas,019,Latin America,029,019-029,Costa Rica,188,1,35,27,25,1,24,-2.7,10,27,30,27,3,9.1
Americas,019,Latin America,029,019-029,Cuba,192,1,68,22,22,2,20,-8.3,33,26,30,24,6,-0.8
Americas,019,Latin America,029,019-029,Curaçao,531,1,0,24,25,,25,,,,,,,
Americas,019,Latin America,029,019-029,Dominica,212,1,1,1,0,0,0,-6.8,0,0,0,0,,-1.2
Americas,019,Latin America,029,019-029,Dominican Republic,214,1,11,14,13,1,13,1.4,2,1,1,1,0,-5.5
Americas,019,Latin America,029,019-029,Ecuador,218,1,596,513,519,0,519,-1.1,61,322,332,28,304,13.9
Americas,019,Latin America,029,019-029,El Salvador,222,1,10,51,53,2,52,14.1,0,5,3,2,1,21.5
Americas,019,Latin America,029,019-029,Falkland Is.(Malvinas),238,1,75,96,70,0,70,-0.6,0,0,0,,0,
Americas,019,Latin America,029,019-029,French Guiana,254,1,5,4,4,0,4,-1.7,0,0,0,0,,0.9
Americas,019,Latin America,029,019-029,Grenada,308,1,2,2,3,0,3,3.6,0,0,0,0,,
Americas,019,Latin America,029,019-029,Guadeloupe,312,1,10,10,10,0,10,-0.2,0,0,0,0,0,-1.8
Americas,019,Latin America,029,019-029,Guatemala,320,1,39,20,22,2,19,-4.4,4,18,17,6,11,11.9
Americas,019,Latin America,029,019-029,Guyana,328,1,49,54,49,1,48,0.1,1,0,0,0,0,-7.5
Americas,019,Latin America,029,019-029,Haiti,332,1,7,17,17,1,16,6.4,0,1,1,1,,37.0
Americas,019,Latin America,029,019-029,Honduras,340,1,18,8,9,0,8,-5.5,10,52,70,21,49,16.2
Americas,019,Latin America,029,019-029,Jamaica,388,1,6,22,25,0,25,12.3,5,1,1,1,0,-12.2
Americas,019,Latin America,029,019-029,Martinique,474,1,6,5,4,0,4,-3.3,0,0,0,0,0,-5.6
Americas,019,Latin America,029,019-029,Mexico,484,1,1316,1575,1627,119,1508,1.6,54,144,169,36,133,9.2
Americas,019,Latin America,029,019-029,Montserrat,500,1,0,0,0,0,0,2.2,,,,,,
Americas,019,Latin America,029,019-029,Netherlands Antilles,530,0,20,,,,,,0,,,,,
Americas,019,Latin America,029,019-029,Nicaragua,558,1,23,34,40,1,40,4.6,5,24,26,0,26,12.9
Americas,019,Latin America,029,019-029,Panama,591,1,227,177,199,1,199,-1.0,2,7,8,0,8,12.6
Americas,019,Latin America,029,019-029,Paraguay,600,1,28,17,17,17,,-3.8,0,5,6,6,,36.2
Americas,019,Latin America,029,019-029,Peru,604,1,10657,4849,5854,27,5827,-4.5,7,72,126,40,86,25.5
Americas,019,Latin America,029,019-029,Puerto Rico,630,1,4,1,1,0,1,-7.7,0,0,0,0,0,-14.6
Americas,019,Latin America,029,019-029,Saint Barthélemy,652,1,0,0,0,,0,0.0,,,,,,
Americas,019,Latin America,029,019-029,Saint Kitts and Nevis,659,1,1,22,18,0,18,25.3,0,0,0,0,0,0.0
Americas,019,Latin America,029,019-029,Saint Lucia,662,1,2,2,2,0,2,0.4,0,0,0,0,,25.1
Americas,019,Latin America,029,019-029,Saint Vincent/Grenadines,670,1,23,10,39,0,39,4.3,,,,,,
Americas,019,Latin America,029,019-029,Saint-Martin,663,1,0,0,0,,0,0.0,,,,,,
Americas,019,Latin America,029,019-029,Sint Maarten,534,1,0,0,0,,0,0.0,,,,,,
Americas,019,Latin America,029,019-029,Suriname,740,1,24,39,40,1,39,3.9,0,0,0,0,0,-4.9
Americas,019,Latin America,029,019-029,Trinidad and Tobago,780,1,14,12,13,0,13,-0.6,0,0,0,0,,-7.9
Americas,019,Latin America,029,019-029,Turks and Caicos Is.,796,1,6,4,4,0,4,-2.9,0,0,0,,0,
Americas,019,Latin America,029,019-029,Uruguay,858,1,113,76,59,2,57,-4.9,0,0,0,0,0,7.5
Americas,019,Latin America,029,019-029,US Virgin Islands,850,1,1,1,0,0,0,-6.4,0,0,0,0,,
Americas,019,Latin America,029,019-029,"Venezuela, Boliv Rep of",862,1,359,213,200,37,163,-4.4,13,26,27,7,20,5.4
Americas,019,Northern America,021,019-021 Total,,,1,5883,6174,6362,55,6307,0.6,584,593,613,262,351,0.4
Americas,019,Northern America,021,019-021,Bermuda,060,1,0,1,0,0,0,3.6,,,,,,
Americas,019,Northern America,021,019-021,Canada,124,1,998,819,852,28,824,-1.2,128,173,172,8,164,2.3
Americas,019,Northern America,021,019-021,Greenland,304,1,160,223,275,0,275,4.3,,,,,,
Americas,019,Northern America,021,019-021,St. Pierre and Miquelon,666,1,7,3,3,0,3,-6.2,0,0,0,,0,0.0
Americas,019,Northern America,021,019-021,United States of America,840,1,4718,5128,5231,26,5204,0.8,457,420,441,254,187,-0.3
Asia,142,,,142 Total,,,1,43527,50206,50869,7885,42985,1.2,28422,58956,62547,41645,20902,6.3
Asia,142,Central Asia ,143,142-143 Total,,,1,52,56,55,55,0,0.4,7,8,8,8,0,1.8
Asia,142,Central Asia ,143,142-143,Kazakhstan,398,1,37,37,35,35,,-0.4,1,1,1,1,,0.0
Asia,142,Central Asia ,143,142-143,Kyrgyzstan,417,1,0,0,0,0,,-4.9,0,0,0,0,,13.5
Asia,142,Central Asia ,143,142-143,Tajikistan,762,1,0,1,1,1,,16.2,0,0,0,0,,12.6
Asia,142,Central Asia ,143,142-143,Turkmenistan,795,1,12,15,15,15,,1.6,0,0,0,0,,-6.1
Asia,142,Central Asia ,143,142-143,Uzbekistan,860,1,3,4,4,4,,1.5,6,7,7,7,,1.5
Asia,142,Eastern Asia,030,142-030 Total,,,1,23012,22765,22842,2351,20491,-0.1,22894,42641,44973,28221,16752,5.3
Asia,142,Eastern Asia,030,142-030,China,156,1,14649,16167,16275,2307,13968,0.8,21522,41108,43550,28014,15536,5.6
Asia,142,Eastern Asia,030,142-030,"China, Hong Kong SAR",344,1,157,155,170,0,170,0.6,5,4,4,2,2,-2.1
Asia,142,Eastern Asia,030,142-030,"China, Macao SAR",446,1,2,2,2,0,2,0.0,,,,,,
Asia,142,Eastern Asia,030,142-030,Taiwan Province of China,158,0,1094,908,925,0,925,-1.3,244,344,344,152,193,2.7
Asia,142,Eastern Asia,030,142-030,Japan,392,1,5073,3651,3657,31,3626,-2.5,763,633,609,31,578,-1.7
Asia,142,Eastern Asia,030,142-030,"Korea, Dem. People's Rep",408,1,213,212,215,5,210,0.1,67,64,64,4,60,-0.3
Asia,142,Eastern Asia,030,142-030,"Korea, Republic of",410,1,1825,1670,1598,7,1591,-1.0,293,487,402,18,384,2.5
Asia,142,Eastern Asia,030,142-030,Mongolia,496,1,0,0,0,0,,-14.0,,,,,,
