DATA_KEY_PROC,DATA_KEY_CONSTR1,DATA_KEY_CONSTR2,DATA_KEY_WEIGHT,CONSTRUCTION_TYPE,GROWTH_RATE_FREQ,GROWTH_TYPE,AGGREGATION,NAtoZERO,SCALING,COMMENTS,
LABPARTMAWEIGHT,,,,manual,,,sum,,,labor part rate weight ('SP.POP.1564.MA.IN'+'SP.POP.65UP.MA.IN'),
SL.TLF.CACT.MA.ZS,,,POP.TOT,,,,weighted.mean,,,"impossible to construct the variable weighting by LABPARTMAWEIGHT (it is impossible to download the variable and even then too many missing values), we have to weight by total population following the world bank method",
SL.TLF.CACT.FE.ZS,,,POP.TOT,,,,weighted.mean,,,"impossible to construct the variable weighting by LABPARTFEWEIGHT (it is impossible to download the variable and even then too many missing values), we have to weight by total population following the world bank method",
RF.FERT.NI.TN.NO,,,,,,,sum,,,,
RF.FERT.NI.TN.SH,RF.FERT.NI.TN.NO,RL.AREA.ARBLPRMN.HA.NO,RL.AREA.ARBLPRMN.HA.NO,share,,,weighted.mean,,1000,from tonne/ha to kg/ha,
RF.FERT.PH.TN.NO,,,,,,,sum,,,,
RF.FERT.PH.TN.SH,RF.FERT.PH.TN.NO,RL.AREA.ARBLPRMN.HA.NO,RL.AREA.ARBLPRMN.HA.NO,share,,,weighted.mean,,1000,from tonne/ha to kg/ha,
RF.FERT.PO.TN.NO,,,,,,,sum,,,,
RF.FERT.PO.TN.SH,RF.FERT.PO.TN.NO,RL.AREA.ARBLPRMN.HA.NO,RL.AREA.ARBLPRMN.HA.NO,share,,,weighted.mean,,1000,from tonne/ha to kg/ha,
RF.FERT.NIPH.TN.NO,,,,,,,sum,,,,
RF.FERT.NIPH.TN.SH,RF.FERT.NIPH.TN.NO,RL.AREA.ARBLPRMN.HA.NO,RL.AREA.ARBLPRMN.HA.NO,share,,,weighted.mean,,1000,from tonne/ha to kg/ha,
RP.PEST.INS.TN.NO,,,,,,,sum,,,,
RP.PEST.MO.TN.NO,,,,,,,sum,,,,
RP.PEST.HE.TN.NO,,,,,,,sum,,,,
RP.PEST.FB.TN.NO,,,,,,,sum,,,,
RP.PEST.STF.TN.NO,,,,,,,sum,,,,
RP.PEST.STI.TN.NO,,,,,,,sum,,,,
RP.PEST.TOT.TN.NO,,,,manual,,,sum,,,sum of all pesticides,
RP.PEST.TOT.TN.SH,RP.PEST.TOT.TN.NO,RL.AREA.ARBLPRMN.HA.NO,RL.AREA.ARBLPRMN.HA.NO,share,,,weighted.mean,,1000,from tonne/ha to kg/ha,
RM.MA.TRA.TR.NO,,,,,,,sum,,,,
ODA.AGRREC.COM.USD.NO,,,,,,,sum,YES,,oda,
ODA.AGRREC.COM.USD.SH,ODA.AGRREC.COM.USD.NO,ODA.TOTREC.COM.USD.NO,ODA.TOTREC.COM.USD.NO,share,,,weighted.mean,,100,oda,
ODA.AGRDON.COM.USD.NO,,,,,,,sum,YES,,oda,
ODA.FORREC.COM.USD.NO,,,,,,,sum,YES,,oda,
ODA.FORREC.COM.USD.SH,ODA.FORREC.COM.USD.NO,ODA.TOTREC.COM.USD.NO,ODA.TOTREC.COM.USD.NO,share,,,weighted.mean,,100,oda,
ODA.FORDON.COM.USD.NO,,,,,,,sum,YES,,oda,
ODA.FISHREC.COM.USD.NO,,,,,,,sum,YES,,oda,
ODA.FISHREC.COM.USD.SH,ODA.FISHREC.COM.USD.NO,ODA.TOTREC.COM.USD.NO,ODA.TOTREC.COM.USD.NO,share,,,weighted.mean,,100,oda,
ODA.FISHDON.COM.USD.NO,,,,,,,sum,YES,,oda,
ODA.AFFREC.COM.USD.NO,,,,,,,sum,YES,,oda,
ODA.AFFREC.COM.USD.SH,ODA.AFFREC.COM.USD.NO,ODA.TOTREC.COM.USD.NO,ODA.TOTREC.COM.USD.NO,share,,,weighted.mean,,100,oda,
ODA.AFFDON.COM.USD.NO,,,,,,,sum,YES,,oda,
ODA.TOTREC.COM.USD.NO,,,,,,,sum,YES,,oda,
ODA.TOTDON.COM.USD.NO,,,,,,,sum,YES,,oda,
CS.GCS.TOT.USD.NO,,,,,,,sum,,,,
CS.GCS.TOT.USD.GR7,CS.GCS.TOT.USD.NO,,CS.GCS.TOT.USD.NO,growth,7,geo,weighted.mean,,,,
CS.GCS.TOT.USD.GR10,CS.GCS.TOT.USD.NO,,CS.GCS.TOT.USD.NO,growth,10,geo,weighted.mean,,,,
CS.GCS.LD.USD.NO,,,,,,,sum,,,,
CS.GCS.LD.USD.SH,CS.GCS.LD.USD.NO,CS.GCS.TOT.USD.NO,CS.GCS.TOT.USD.NO,share,,,weighted.mean,,100,,
CS.GCS.LFA.USD.NO,,,,,,,sum,,,,
CS.GCS.LFA.USD.SH,CS.GCS.LFA.USD.NO,CS.GCS.TOT.USD.NO,CS.GCS.TOT.USD.NO,share,,,weighted.mean,,100,,
CS.GCS.LI.USD.NO,,,,,,,sum,,,,
CS.GCS.LI.USD.SH,CS.GCS.LI.USD.NO,CS.GCS.TOT.USD.NO,CS.GCS.TOT.USD.NO,share,,,weighted.mean,,100,,
CS.GCS.ME.USD.NO,,,,,,,sum,,,,
CS.GCS.ME.USD.SH,CS.GCS.ME.USD.NO,CS.GCS.TOT.USD.NO,CS.GCS.TOT.USD.NO,share,,,weighted.mean,,100,,
CS.GCS.PC.USD.NO,,,,,,,sum,,,,
CS.GCS.PC.USD.SH,CS.GCS.PC.USD.NO,CS.GCS.TOT.USD.NO,CS.GCS.TOT.USD.NO,share,,,weighted.mean,,100,,
CS.GCS.SL.USD.NO,,,,,,,sum,,,,
CS.GCS.SL.USD.SH,CS.GCS.SL.USD.NO,CS.GCS.TOT.USD.NO,CS.GCS.TOT.USD.NO,share,,,weighted.mean,,100,,
IG.AFFH.STOCGG.USD.SH,,,,,,,,,,no aggregation has to be done,
IG.AFFH.STONCGG.USD.SH,,,,,,,,,,no aggregation has to be done,
IG.AFFH.SAGCGG.USD.SH,,,,,,,,,,no aggregation has to be done,
IG.AFFH.SAGNCGG.USD.SH,,,,,,,,,,no aggregation has to be done,
IG.EP.STOCGG.USD.SH,,,,,,,,,,no aggregation has to be done,
IG.EP.STONCGG.USD.SH,,,,,,,,,,no aggregation has to be done,
FDI.AHFF.IF.USD.NO,,,,,,,sum,,,,
FDI.FBT.IF.USD.NO,,,,,,,sum,,,,
FDI.TOT.IF.USD.NO,,,,,,,sum,,,,
ASTI.TPE.AR.USD.SH,,,,,,,,,,no aggregation has to be done,
ASTI.TPE.ARD.USD.NO,,,,,,,sum,,,,
IT.CEL.SETS,,,,,,,sum,,,,
IT.CEL.SETS.GR12,IT.CEL.SETS,,IT.CEL.SETS,growth,12,geo,weighted.mean,,,,
IT.NET.BBND.P2,,,POP.TOT,,,,weighted.mean,,,,
IT.CEL.SETS.P2,,,POP.TOT,,,,weighted.mean,,,,
IT.MLT.MAIN.P2,,,POP.TOT,,,,weighted.mean,,,,
IQ.CPA.BREG.XQ,,,,,,,,,,no aggregation has to be done,
SI.POV.GAPS,,,,,,,,,,no aggregation has to be done,
SI.POV.GAP2,,,,,,,,,,no aggregation has to be done,
SI.POV.NAGP,,,,,,,,,,no aggregation has to be done,
SI.POV.RUGP,,,,,,,,,,no aggregation has to be done,
SI.POV.URGP,,,,,,,,,,no aggregation has to be done,
SI.POV.DDAY,,,,,,,,,,no aggregation has to be done,
SI.POV.2DAY,,,,,,,,,,no aggregation has to be done,
SI.POV.NAHC,,,,,,,,,,no aggregation has to be done,
SI.POV.RUHC,,,,,,,,,,no aggregation has to be done,
SI.POV.URHC,,,,,,,,,,no aggregation has to be done,
SI.POV.GINI,,,,,,,,,,no aggregation has to be done,
SI.DST.05TH.20,,,,,,,,,,no aggregation has to be done,
SI.DST.FRST.20,,,,,,,,,,no aggregation has to be done,
SE.PRM.CMPT.ZS,,,POP.TOT,,,,weighted.mean,,,,
SE.ADT.LITR.FE.ZS,,,,,,,,,,we cannot compute the aggs weighting by POP.TOT…aggs too different,
SE.ENR.PRSC.FM.ZS,,,POP.TOT,,,,weighted.mean,,,,
SE.PRM.NENR.FE,,,,,,,,,,no aggregation has to be done,
SE.PRM.NENR.MA,,,,,,,,,,no aggregation has to be done,
SH.XPD.TOTL.ZS,,,NY.GDP.MKTP.CD,,,,weighted.mean,,,,
EN.CLC.MDAT.ZS,,,POP.TOT,,,,weighted.mean,,,,
DA.DET.AV.IN.NO,,,,,,,,,,no aggregation has to be done,
DA.DET.FPI.I.NO,,,,,,,,,,no aggregation has to be done,
DA.DET.ES.KCD.SH,,,,,,,,,,no aggregation has to be done,
DA.DET.PS.GR.NO,,,,,,,,,,no aggregation has to be done,
DA.DET.PS.GR.CH18,DA.DET.PS.GR.NO,,,manual,,,,,,no aggregation has to be done,
DA.DET.APS.GR.NO,,,,,,,,,,no aggregation has to be done,
DA.DET.APS.GR.CH18,DA.DET.APS.GR.NO,,,manual,,,,,,no aggregation has to be done,
DA.DET.FS.GR.NO,,,,,,,,,,no aggregation has to be done,
DA.DET.FS.GR.CH18,DA.DET.FS.GR.NO,,,manual,,,,,,no aggregation has to be done,
DE.DET.EA.IN.NO,,,,,,,,,,no aggregation has to be done,
DP.DET.PAPR.KM.SH,,,,,,,,,,no aggregation has to be done,
DP.DET.PARLD.KM.SH,,,,,,,,,,no aggregation has to be done,
DP.DET.PARD.KM.SH,,,,,,,,,,no aggregation has to be done,
DO.OUT.ACDFD.DP.NO,,,,,,,,,,no aggregation has to be done,
DO.OUT.ACPU.POP.NO,,,,,,,,,,no aggregation has to be done,
DO.OUT.ACNU.POP.NO,,,,,,,,,,no aggregation has to be done,
DO.OUT.ACPFI.POP.NO,,,,,,,,,,no aggregation has to be done,
DO.OUT.ACFEP.EXP.SH,,,,,,,,,,no aggregation has to be done,
DU.DET.UTWR.POP.SH,,,,,,,,,,no aggregation has to be done,
DU.DET.UTSF.POP.SH,,,,,,,,,,no aggregation has to be done,
DT.OUT.UTST.POP.SH,,,,,,,,,,no aggregation has to be done,
DT.OUT.UTWA.POP.SH,,,,,,,,,,no aggregation has to be done,
DT.OUT.UTUN.POP.SH,,,,,,,,,,no aggregation has to be done,
DT.OUT.UTAUN.POP.SH,,,,,,,,,,no aggregation has to be done,
DV.VS.DFPI.IN.NO,,,,,,,,,,no aggregation has to be done,
DV.VS.FPV.IN.SH,,,,,,,,,,no aggregation has to be done,
DV.VS.FSV.IN.SH,,,,,,,,,,no aggregation has to be done,
DV.VS.FIME.FE.SH,,,,,,,,,,no aggregation has to be done,
DV.VS.PS.IN.NO,,,,,,,,,,no aggregation has to be done,
DV.VS.CIDR.IN.NO,,,,,,,,,,no aggregation has to be done,
DV.VS.AEI.IN.SH,,,,,,,,,,no aggregation has to be done,
QC.PRD.CRLS.TN.NO,,,,,,,sum,,,,
QC.PRD.CRLS.TN.SHP,QC.PRD.CRLS.TN.NO,POP.TOT,POP.TOT,share,,,weighted.mean,,1000,from tonne/cap to kg/cap,
QC.PRD.CRLS.TN.GR10,QC.PRD.CRLS.TN.NO,,QC.PRD.CRLS.TN.NO,growth,10,geo,weighted.mean,,,ls,
QC.PRD.CRLS.TN.GR11,QC.PRD.CRLS.TN.NO,,QC.PRD.CRLS.TN.NO,growth,11,geo,weighted.mean,,,ls,
QC.RHRV.CRLS.HA.NO,,,,,,,sum,,,,
QC.RHRV.CRLS.HA.GR10,QC.RHRV.CRLS.HA.NO,,QC.RHRV.CRLS.HA.NO,growth,10,geo,weighted.mean,,,ls,
QC.RHRV.CRLS.HA.GR11,QC.RHRV.CRLS.HA.NO,,QC.RHRV.CRLS.HA.NO,growth,11,geo,weighted.mean,,,ls,
QC.YIELD.CRLS.HG.NO,,,QC.RHRV.CRLS.HA.NO,,,,weighted.mean,,,I weighted the yield by the harvested area,
QC.YIELD.CRLS.HG.GR10,QC.YIELD.CRLS.HG.NO,,QC.YIELD.CRLS.HG.NO,growth,10,geo,weighted.mean,,,ls,
QC.YIELD.CRLS.HG.GR11,QC.YIELD.CRLS.HG.NO,,QC.YIELD.CRLS.HG.NO,growth,11,geo,weighted.mean,,,ls,
QC.PRD.CRSGRN.TN.NO,,,,,,,sum,,,,
QC.PRD.CRSGRN.TN.SHW,QC.PRD.CRSGRN.TN.NO,,,share,,,sum,,100,,
QC.PRD.CRSGRN.TN.SHP,QC.PRD.CRSGRN.TN.NO,POP.TOT,POP.TOT,share,,,weighted.mean,,1000,from tonne/cap to kg/cap,
QC.PRD.CRSGRN.TN.GR10,QC.PRD.CRSGRN.TN.NO,,QC.PRD.CRSGRN.TN.NO,growth,10,geo,weighted.mean,,,ls,
QC.PRD.CRSGRN.TN.GR11,QC.PRD.CRSGRN.TN.NO,,QC.PRD.CRSGRN.TN.NO,growth,11,geo,weighted.mean,,,ls,
QC.RHRV.CRSGRN.HA.NO,,,,,,,sum,,,,
QC.RHRV.CRSGRN.HA.SHW,QC.RHRV.CRSGRN.HA.NO,,,share,,,sum,,100,,
QC.RHRV.CRSGRN.HA.SHL,QC.RHRV.CRSGRN.HA.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,,100,,
QC.RHRV.CRSGRN.HA.GR10,QC.RHRV.CRSGRN.HA.NO,,QC.RHRV.CRSGRN.HA.NO,growth,10,geo,weighted.mean,,,ls,
QC.RHRV.CRSGRN.HA.GR11,QC.RHRV.CRSGRN.HA.NO,,QC.RHRV.CRSGRN.HA.NO,growth,11,geo,weighted.mean,,,ls,
QC.YIELD.CRSGRN.HG.NO,,,QC.RHRV.CRSGRN.HA.NO,,,,weighted.mean,,,I weighted the yield by the harvested area,
QC.YIELD.CRSGRN.HG.GR10,QC.YIELD.CRSGRN.HG.NO,,QC.YIELD.CRSGRN.HG.NO,growth,10,geo,weighted.mean,,,ls,
QC.YIELD.CRSGRN.HG.GR11,QC.YIELD.CRSGRN.HG.NO,,QC.YIELD.CRSGRN.HG.NO,growth,11,geo,weighted.mean,,,ls,
QC.PRD.RICE.TN.NO,,,,,,,sum,,,,
QC.PRD.RICE.TN.SHP,QC.PRD.RICE.TN.NO,POP.TOT,POP.TOT,share,,,weighted.mean,,1000,from tonne/cap to kg/cap,
QC.PRD.RICE.TN.GR10,QC.PRD.RICE.TN.NO,,QC.PRD.RICE.TN.NO,growth,10,geo,weighted.mean,,,,
QC.PRD.RICE.TN.GR11,QC.PRD.RICE.TN.NO,,QC.PRD.RICE.TN.NO,growth,11,geo,weighted.mean,,,,
QC.RHRV.RICE.HA.NO,,,,,,,sum,,,,
QC.RHRV.RICE.HA.GR10,QC.RHRV.RICE.HA.NO,,QC.RHRV.RICE.HA.NO,growth,10,geo,weighted.mean,,,,
QC.RHRV.RICE.HA.GR11,QC.RHRV.RICE.HA.NO,,QC.RHRV.RICE.HA.NO,growth,11,geo,weighted.mean,,,,
QC.YIELD.RICE.HG.NO,,,QC.RHRV.RICE.HA.NO,,,,weighted.mean,,,I weighted the yield by the harvested area,
QC.YIELD.RICE.HG.GR10,QC.YIELD.RICE.HG.NO,,QC.YIELD.RICE.HG.NO,growth,10,geo,weighted.mean,,,,
QC.YIELD.RICE.HG.GR11,QC.YIELD.RICE.HG.NO,,QC.YIELD.RICE.HG.NO,growth,11,geo,weighted.mean,,,,
QC.PRD.WHT.TN.NO,,,,,,,sum,,,,
QC.PRD.WHT.TN.SHP,QC.PRD.WHT.TN.NO,POP.TOT,POP.TOT,share,,,weighted.mean,,1000,from tonne/cap to kg/cap,
QC.PRD.WHT.TN.SHW,QC.PRD.WHT.TN.NO,,,share,,,sum,,100,,
QC.PRD.WHT.TN.GR10,QC.PRD.WHT.TN.NO,,QC.PRD.WHT.TN.NO,growth,10,geo,weighted.mean,,,ls,
QC.PRD.WHT.TN.GR11,QC.PRD.WHT.TN.NO,,QC.PRD.WHT.TN.NO,growth,11,geo,weighted.mean,,,ls,
QC.RHRV.WHT.HA.NO,,,,,,,sum,,,,
QC.RHRV.WHT.HA.SHW,QC.RHRV.WHT.HA.NO,,,share,,,sum,,100,,
QC.RHRV.WHT.HA.SHL,QC.RHRV.WHT.HA.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,,100,,
QC.RHRV.WHT.HA.GR10,QC.RHRV.WHT.HA.NO,,QC.RHRV.WHT.HA.NO,growth,10,geo,weighted.mean,,,ls,
QC.RHRV.WHT.HA.GR11,QC.RHRV.WHT.HA.NO,,QC.RHRV.WHT.HA.NO,growth,11,geo,weighted.mean,,,ls,
QC.YIELD.WHT.HG.NO,,,QC.RHRV.WHT.HA.NO,,,,weighted.mean,,,I weighted the yield by the harvested area,
QC.YIELD.WHT.HG.GR10,QC.YIELD.WHT.HG.NO,,QC.YIELD.WHT.HG.NO,growth,10,geo,weighted.mean,,,ls,
QC.YIELD.WHT.HG.GR11,QC.YIELD.WHT.HG.NO,,QC.YIELD.WHT.HG.NO,growth,11,geo,weighted.mean,,,ls,
QC.PRD.OILCRPS.TN.NO,,,,,,,sum,,,,
QC.PRD.OILCRPS.TN.SHW,QC.PRD.OILCRPS.TN.NO,,,share,,,sum,,100,,
QC.PRD.OILCRPS.TN.SHL,QC.PRD.OILCRPS.TN.NO,RL.AREA.LAND.HA.NO,RL.AREA.LAND.HA.NO,share,,,weighted.mean,,100,,
QC.PRD.OILCRPS.TN.SHP,QC.PRD.OILCRPS.TN.NO,POP.TOT,POP.TOT,share,,,weighted.mean,,1000,from tonne/cap to kg/cap,
QC.PRD.OILCRPS.TN.GR10,QC.PRD.OILCRPS.TN.NO,,QC.PRD.OILCRPS.TN.NO,growth,10,geo,weighted.mean,,,ls,
QC.PRD.OILCRPS.TN.GR11,QC.PRD.OILCRPS.TN.NO,,QC.PRD.OILCRPS.TN.NO,growth,11,geo,weighted.mean,,,ls,
QC.RHRV.OILCRPS.HA.NO,,,,,,,sum,,,,
QC.RHRV.OILCRPS.HA.SHW,QC.RHRV.OILCRPS.HA.NO,,,share,,,sum,,100,,
QC.RHRV.OILCRPS.HA.GR10,QC.RHRV.OILCRPS.HA.NO,,QC.RHRV.OILCRPS.HA.NO,growth,10,geo,weighted.mean,,,ls,
QC.RHRV.OILCRPS.HA.GR11,QC.RHRV.OILCRPS.HA.NO,,QC.RHRV.OILCRPS.HA.NO,growth,11,geo,weighted.mean,,,ls,
QC.YIELD.OILCRPS.HG.NO,,,QC.RHRV.OILCRPS.HA.NO,,,,weighted.mean,,,I weighted the yield by the harvested area,
QC.YIELD.OILCRPS.HG.GR10,QC.YIELD.OILCRPS.HG.NO,,QC.YIELD.OILCRPS.HG.NO,growth,10,geo,weighted.mean,,,,
QC.YIELD.OILCRPS.HG.GR11,QC.YIELD.OILCRPS.HG.NO,,QC.YIELD.OILCRPS.HG.NO,growth,11,geo,weighted.mean,,,,
QC.PRD.PULSE.TN.NO,,,,,,,sum,,,,
QC.PRD.PULSE.TN.SHP,QC.PRD.PULSE.TN.NO,POP.TOT,POP.TOT,share,,,weighted.mean,,1000,from tonne/cap to kg/cap,
QC.PRD.PULSE.TN.GR10,QC.PRD.PULSE.TN.NO,,QC.PRD.PULSE.TN.NO,growth,10,geo,weighted.mean,,,ls,
QC.PRD.PULSE.TN.GR11,QC.PRD.PULSE.TN.NO,,QC.PRD.PULSE.TN.NO,growth,11,geo,weighted.mean,,,ls,
QC.RHRV.PULSE.HA.NO,,,,,,,sum,,,,
QC.RHRV.PULSE.HA.GR10,QC.RHRV.PULSE.HA.NO,,QC.RHRV.PULSE.HA.NO,growth,10,geo,weighted.mean,,,ls,
QC.RHRV.PULSE.HA.GR11,QC.RHRV.PULSE.HA.NO,,QC.RHRV.PULSE.HA.NO,growth,11,geo,weighted.mean,,,ls,
QC.YIELD.PULSE.HG.NO,,,QC.RHRV.PULSE.HA.NO,,,,weighted.mean,,,I weighted the yield by the harvested area,
QC.YIELD.PULSE.HG.GR10,QC.YIELD.PULSE.HG.NO,,QC.YIELD.PULSE.HG.NO,growth,10,geo,weighted.mean,,,ls,
QC.YIELD.PULSE.HG.GR11,QC.YIELD.PULSE.HG.NO,,QC.YIELD.PULSE.HG.NO,growth,11,geo,weighted.mean,,,ls,
QC.PRD.RTTB.TN.NO,,,,,,,sum,,,,
QC.PRD.RTTB.TN.SHW,QC.PRD.RTTB.TN.NO,,,share,,,sum,,100,,
QC.PRD.RTTB.TN.SHP,QC.PRD.RTTB.TN.NO,POP.TOT,POP.TOT,share,,,weighted.mean,,1000,from tonne/cap to kg/cap,
QC.PRD.RTTB.TN.GR10,QC.PRD.RTTB.TN.NO,,QC.PRD.RTTB.TN.NO,growth,10,geo,weighted.mean,,,ls,
QC.PRD.RTTB.TN.GR11,QC.PRD.RTTB.TN.NO,,QC.PRD.RTTB.TN.NO,growth,11,geo,weighted.mean,,,ls,
QC.RHRV.RTTB.HA.NO,,,,,,,sum,,,,
QC.RHRV.RTTB.HA.SHW,QC.RHRV.RTTB.HA.NO,,,share,,,sum,,100,,
QC.RHRV.RTTB.HA.SHL,QC.RHRV.RTTB.HA.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,,100,,
QC.RHRV.RTTB.HA.GR10,QC.RHRV.RTTB.HA.NO,,QC.RHRV.RTTB.HA.NO,growth,10,geo,weighted.mean,,,ls,
QC.RHRV.RTTB.HA.GR11,QC.RHRV.RTTB.HA.NO,,QC.RHRV.RTTB.HA.NO,growth,11,geo,weighted.mean,,,ls,
QC.YIELD.RTTB.HG.NO,,,QC.RHRV.RTTB.HA.NO,,,,weighted.mean,,,I weighted the yield by the harvested area,
QC.YIELD.RTTB.HG.GR10,QC.YIELD.RTTB.HG.NO,,QC.YIELD.RTTB.HG.NO,growth,10,geo,weighted.mean,,,ls,
QC.YIELD.RTTB.HG.GR11,QC.YIELD.RTTB.HG.NO,,QC.YIELD.RTTB.HG.NO,growth,11,geo,weighted.mean,,,ls,
QC.PRD.VEG.TN.NO,,,,,,,sum,,,,
QC.PRD.VEG.TN.SHW,QC.PRD.VEG.TN.NO,,,share,,,sum,,100,,
QC.PRD.VEG.TN.SHP,QC.PRD.VEG.TN.NO,POP.TOT,POP.TOT,share,,,weighted.mean,,1000,from tonne/cap to kg/cap,
QC.PRD.VEG.TN.GR10,QC.PRD.VEG.TN.NO,,QC.PRD.VEG.TN.NO,growth,10,geo,weighted.mean,,,ls,
QC.PRD.VEG.TN.GR11,QC.PRD.VEG.TN.NO,,QC.PRD.VEG.TN.NO,growth,11,geo,weighted.mean,,,ls,
QC.RHRV.VEG.HA.NO,,,,,,,sum,,,,
QC.RHRV.VEG.HA.SHW,QC.RHRV.VEG.HA.NO,,,share,,,sum,,100,,
QC.RHRV.VEG.HA.SHL,QC.RHRV.VEG.HA.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,,100,,
QC.RHRV.VEG.HA.GR10,QC.RHRV.VEG.HA.NO,,QC.RHRV.VEG.HA.NO,growth,10,geo,weighted.mean,,,ls,
QC.RHRV.VEG.HA.GR11,QC.RHRV.VEG.HA.NO,,QC.RHRV.VEG.HA.NO,growth,11,geo,weighted.mean,,,ls,
QC.YIELD.VEG.HG.NO,,,QC.RHRV.VEG.HA.NO,,,,weighted.mean,,,I weighted the yield by the harvested area,
QC.YIELD.VEG.HG.GR10,QC.YIELD.VEG.HG.NO,,QC.YIELD.VEG.HG.NO,growth,10,geo,weighted.mean,,,ls,
QC.YIELD.VEG.HG.GR11,QC.YIELD.VEG.HG.NO,,QC.YIELD.VEG.HG.NO,growth,11,geo,weighted.mean,,,ls,
QC.PRD.SU.TN.NO,,,,,,,sum,,,,
QC.PRD.SU.TN.SHW,QC.PRD.SU.TN.NO,,,share,,,sum,,100,,
QC.PRD.SU.TN.SHP,QC.PRD.SU.TN.NO,POP.TOT,POP.TOT,share,,,weighted.mean,,1000,from tonne/cap to kg/cap,
QC.PRD.SU.TN.GR10,QC.PRD.SU.TN.NO,,QC.PRD.SU.TN.NO,growth,10,geo,weighted.mean,,,ls,
QC.PRD.SU.TN.GR11,QC.PRD.SU.TN.NO,,QC.PRD.SU.TN.NO,growth,11,geo,weighted.mean,,,ls,
QC.RHRV.SU.HA.NO,,,,,,,sum,,,,
QC.RHRV.SU.HA.SHW,QC.RHRV.SU.HA.NO,,,share,,,sum,,100,,
QC.RHRV.SU.HA.SHL,QC.RHRV.SU.HA.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,,100,,
QC.RHRV.SU.HA.GR10,QC.RHRV.SU.HA.NO,,QC.RHRV.SU.HA.NO,growth,10,geo,weighted.mean,,,ls,
QC.RHRV.SU.HA.GR11,QC.RHRV.SU.HA.NO,,QC.RHRV.SU.HA.NO,growth,11,geo,weighted.mean,,,ls,
QC.YIELD.SU.HG.NO,,,QC.RHRV.SU.HA.NO,,,,weighted.mean,,,I weighted the yield by the harvested area,
QC.YIELD.SU.HG.GR10,QC.YIELD.SU.HG.NO,,QC.YIELD.SU.HG.NO,growth,10,geo,weighted.mean,,,ls,
QC.YIELD.SU.HG.GR11,QC.YIELD.SU.HG.NO,,QC.YIELD.SU.HG.NO,growth,11,geo,weighted.mean,,,ls,
QC.PRD.TN.TN.NO,,,,,,,sum,,,,
QC.PRD.TN.TN.SHP,QC.PRD.TN.TN.NO,POP.TOT,POP.TOT,share,,,weighted.mean,,1000,from tonne/cap to kg/cap,
QC.PRD.TN.TN.GR10,QC.PRD.TN.TN.NO,,QC.PRD.TN.TN.NO,growth,10,geo,weighted.mean,,,,
QC.PRD.TN.TN.GR11,QC.PRD.TN.TN.NO,,QC.PRD.TN.TN.NO,growth,11,geo,weighted.mean,,,,
QC.RHRV.TN.HA.NO,,,,,,,sum,,,,
QC.RHRV.TN.HA.GR10,QC.RHRV.TN.HA.NO,,QC.RHRV.TN.HA.NO,growth,10,geo,weighted.mean,,,,
QC.RHRV.TN.HA.GR11,QC.RHRV.TN.HA.NO,,QC.RHRV.TN.HA.NO,growth,11,geo,weighted.mean,,,,
QC.YIELD.TN.HG.NO,,,QC.RHRV.TN.HA.NO,,,,weighted.mean,,,I weighted the yield by the harvested area,
QC.YIELD.TN.HG.GR10,QC.YIELD.TN.HG.NO,,QC.YIELD.TN.HG.NO,growth,10,geo,weighted.mean,,,,
QC.YIELD.TN.HG.GR11,QC.YIELD.TN.HG.NO,,QC.YIELD.TN.HG.NO,growth,11,geo,weighted.mean,,,,
QC.PRD.FRU.TN.NO,,,,,,,sum,,,,
QC.PRD.FRU.TN.SHW,QC.PRD.FRU.TN.NO,,,share,,,sum,,100,,
QC.PRD.FRU.TN.SHP,QC.PRD.FRU.TN.NO,POP.TOT,POP.TOT,share,,,weighted.mean,,1000,from tonne/cap to kg/cap,
QC.PRD.FRU.TN.GR10,QC.PRD.FRU.TN.NO,,QC.PRD.FRU.TN.NO,growth,10,geo,weighted.mean,,,ls,
QC.PRD.FRU.TN.GR11,QC.PRD.FRU.TN.NO,,QC.PRD.FRU.TN.NO,growth,11,geo,weighted.mean,,,ls,
QC.RHRV.FRU.HA.NO,,,,,,,sum,,,,
QC.RHRV.FRU.HA.SHW,QC.RHRV.FRU.HA.NO,,,share,,,sum,,100,,
QC.RHRV.FRU.HA.SHL,QC.RHRV.FRU.HA.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,,100,,
QC.RHRV.FRU.HA.GR10,QC.RHRV.FRU.HA.NO,,QC.RHRV.FRU.HA.NO,growth,10,geo,weighted.mean,,,ls,
QC.RHRV.FRU.HA.GR11,QC.RHRV.FRU.HA.NO,,QC.RHRV.FRU.HA.NO,growth,11,geo,weighted.mean,,,ls,
QC.YIELD.FRU.HG.NO,,,QC.RHRV.FRU.HA.NO,,,,weighted.mean,,,I weighted the yield by the harvested area,
