DATA_KEY_PROC,DATA_KEY_CONSTR1,DATA_KEY_CONSTR2,DATA_KEY_WEIGHT,CONSTRUCTION_TYPE,GROWTH_RATE_FREQ,GROWTH_TYPE,AGGREGATION,NAtoZERO,SCALING,COMMENTS,
QV.NPV.NNFOOD.BASE.0406,,,,manual,,,mean,,,the aggregation is not needed but I need to specify it otherwise this variable will be excluded from the aggregation phase and cannot be used as weight for the aggregation of other variables,
QV.NPCPV.NNFOOD.ID.SHP,QV.NPV.NNFOOD.ID.NO,POP.TOT,POP.TOT,share,,,weighted.mean,,,,
WEIGHT.POP.NPV.NNFOOD.0406,QV.NPV.NNFOOD.BASE.0406,POP.TOT.BASE.0406,,share,,,mean,,,the aggregation is not needed but I need to specify it otherwise this variable will be excluded from the aggregation phase and cannot be used as weight for the aggregation of other variables,
QI.GPIN.FOOD.IN.NO,,,QV.GPV.FOOD.BASE.0406,,,,weighted.mean,,,,
QI.GPCPIN.FOOD.IN.NO,,,QV.GPV.FOOD.BASE.0406,,,,weighted.mean,,,,
QI.NPIN.FOOD.IN.NO,,,QV.NPV.FOOD.BASE.0406,,,,weighted.mean,,,,
QI.NPCPIN.FOOD.IN.NO,,,QV.NPV.FOOD.BASE.0406,,,,weighted.mean,,,,
QI.NPCPIN.FOOD.IN.GR11,QI.NPCPIN.FOOD.IN.NO,,QI.NPCPIN.FOOD.IN.NO,growth,11,geo,weighted.mean,,,ls,
QI.NPCPIN.FOOD.IN.CH1,QI.NPCPIN.FOOD.IN.NO,,QI.NPCPIN.FOOD.IN.NO,change,1,,weighted.mean,,,,
QI.NPIN.CRPS.IN.NO,,,QV.NPV.CRPS.BASE.0406,,,,weighted.mean,,,,
QI.NPCPIN.CRPS.IN.NO,,,QV.NPV.CRPS.BASE.0406,,,,weighted.mean,,,,
QI.NPCPIN.CRPS.IN.GR11,QI.NPCPIN.CRPS.IN.NO,,QI.NPCPIN.CRPS.IN.NO,growth,11,geo,weighted.mean,,,ls,
QI.NPCPIN.CRPS.IN.CH1,QI.NPCPIN.CRPS.IN.NO,,QI.NPCPIN.CRPS.IN.NO,change,1,,weighted.mean,,,,
QI.NPIN.AGR.IN.NO,,,QV.NPV.AGR.BASE.0406,,,,weighted.mean,,,,
QI.NPCPIN.AGR.IN.NO,,,QV.NPV.AGR.BASE.0406,,,,weighted.mean,,,,
QI.NPIN.CRLS.IN.NO,,,QV.NPV.CRLS.BASE.0406,,,,weighted.mean,,,,
QI.NPCPIN.CRLS.IN.NO,,,QV.NPV.CRLS.BASE.0406,,,,weighted.mean,,,,
QI.NPIN.LVSTCK.IN.NO,,,QV.NPV.LVSTCK.BASE.0406,,,,weighted.mean,,,,
QI.NPCPIN.LVSTCK.IN.NO,,,QV.NPV.LVSTCK.BASE.0406,,,,weighted.mean,,,,
QI.NPCPIN.LVSTCK.IN.GR11,QI.NPCPIN.LVSTCK.IN.NO,,QI.NPCPIN.LVSTCK.IN.NO,growth,11,geo,weighted.mean,,,ls,
QI.NPCPIN.LVSTCK.IN.CH1,QI.NPCPIN.LVSTCK.IN.NO,,QI.NPCPIN.LVSTCK.IN.NO,change,1,,weighted.mean,,,,
QI.NPIN.NNFOOD.IN.NO,,,QV.NPV.NNFOOD.BASE.0406,,,,weighted.mean,,,,
QI.NPCPIN.NNFOOD.IN.NO,,,QV.NPV.NNFOOD.BASE.0406,,,,weighted.mean,,,,
QI.NPCPIN.NNFOOD.IN.GR11,QI.NPCPIN.NNFOOD.IN.NO,,QI.NPCPIN.NNFOOD.IN.NO,growth,11,geo,weighted.mean,,,ls,
QI.NPCPIN.NNFOOD.IN.CH1,QI.NPCPIN.NNFOOD.IN.NO,,QI.NPCPIN.NNFOOD.IN.NO,change,1,,weighted.mean,,,,
CC.SUPPLY.CRLS.KCD.NO,,,POP.TOT,,,,weighted.mean,,,,
CC.SUPPLY.VEGOIL.KCD.NO,,,POP.TOT,,,,weighted.mean,,,,
CC.SUPPLY.SGRSWT.KCD.NO,,,POP.TOT,,,,weighted.mean,,,,
CC.SUPPLY.ALCBEV.KCD.NO,,,POP.TOT,,,,weighted.mean,,,,
CC.SUPPLY.FRU.KCD.NO,,,POP.TOT,,,,weighted.mean,,,,
CC.SUPPLY.VEG.KCD.NO,,,POP.TOT,,,,weighted.mean,,,,
CC.SUPPLY.MEAT.KCD.NO,,,POP.TOT,,,,weighted.mean,,,,
CC.SUPPLY.MILK.KCD.NO,,,POP.TOT,,,,weighted.mean,,,,
PI.PPI.CRLS.IN.NO,,,,,,,,,,no aggregation has to be done,
PI.PPI.OILCRPS.IN.NO,,,,,,,,,,no aggregation has to be done,
PI.PPI.SU.IN.NO,,,,,,,,,,no aggregation has to be done,
PI.PPI.MEAT.IN.NO,,,,,,,,,,no aggregation has to be done,
PI.PPI.MILK.IN.NO,,,,,,,,,,no aggregation has to be done,
ER.BDV.TOTL.XQ,,,,,,,,,,"no aggregation has to be done, well I should check if it is doable",
EL.CRBN.STK.WT,,,,,,,mean,,,to be revised the aggregation method,
QL.CW.PT.GR.NO,,,,,,,mean,,,to be revised the aggregation method,
QL.CW.BV.HG.NO,,,,,,,mean,,,to be revised the aggregation method,
QL.CW.OV.HG.NO,,,,,,,mean,,,to be revised the aggregation method,
QL.CW.PG.HG.NO,,,,,,,mean,,,to be revised the aggregation method,
NV.AGR.TOTL.KD,,,,,,,mean,,,to be revised the aggregation method,
AQ.WAT.PROD.SH.NO,NV.AGR.TOTL.KD,AQ.WAT.WWAGR.MC.NO,AQ.WAT.WWAGR.MC.NO,share,,,weighted.mean,,,,
FO.CRBN.STK.NO,,,,,,,sum,,,,
FO.FUNC.ENV.NO,,,,,,,sum,,,,
AG.TFP.AG.GR1,,,,,,,,,,no aggregation has to be done,
EA.PRD.ALL.KD,,,,,,,,,,no aggregation has to be done,
RK.EXPOSURE.RSK.NO,,,,,,,,,,no aggregation has to be done,
EN.EPI.EH.NO,,,,,,,,,,no aggregation has to be done,
EN.EPI.ECO.NO,,,,,,,,,,no aggregation has to be done,
EN.EPI.EP.NO,,,,,,,,,,no aggregation has to be done,
TP.SH.PRIMEXP.SH,,,,,,,,,,no aggregation has to be done,
FS.VOH.AV.POP.NO,,,,,,,,,,no aggregation has to be done,
NU.GAM.MDN.NO,,,,,,,,,,no aggregation has to be done,
EL.CONS.AG.NO,,,,,,,,,,no aggregation has to be done,
RF.FERT.NB.TN.SH,,,,,,,,,,no aggregation has to be done,
EN.EGY.US.AG.SH,,,,,,,,,,no aggregation has to be done,
NV.AGR.TOTL.CD,,,,,,,,,,no aggregation has to be done,
TP.VAL.AGREXP.USD.NO,,,,,,,sum,,,,
TP.VAL.AGRIMP.USD.NO,,,,,,,sum,,,,
TP.VAL.TRDVA.USD.SH,,,NV.AGR.TOTL.CD,,,,weighted.mean,,,,
EA.PRD.AGALL.KD.SH,,,,,,,,,,no aggregation has to be done,
SH.STA.MMRT.NE,,,,,,,,,,no aggregation has to be done,
SH.MED.CMHW.P3,,,,,,,,,,no aggregation has to be done,
RK.EXP.EXP.NO,,,,,,,,,,no aggregation has to be done,
RK.SUS.EXP.NO,,,,,,,,,,no aggregation has to be done,
SP.RUR.TOTL.PV,,,,,,,,,,no aggregation has to be done,
TP.FO.AID.NO,,,,,,,sum,,,,
TP.FO.AID.SHP,TP.FO.AID.NO,POP.TOT,POP.TOT,share,,,weighted.mean,,1000,from tonnes to kg,
