STS_ID,STS_ID_CONSTR1,STS_ID_CONSTR2,STS_ID_WEIGHT,CONSTRUCTION_TYPE,GROWTH_RATE_FREQ,GROWTH_TYPE,AGGREGATION,THRESHOLD_PROP,THRESHOLD_COUNTRIES,SCALING,MODULE_FSI,MODULE_POU,MODULE_DES,COMMENTS
SH.STA.AMALN.ZS,,,,,,,discard,,,,FSI,,,
FB.FS.GT.KCD.NO,,,POPULATION,,,,weighted.mean,0,15,,FSI,,,
DIFF.PCFSV.IN.NO,,,,,,,discard,,,,FSI,,,
PCFSV.IN.NO,,,,,,,aggregates are computed using the alread computed aggregates,,,,FSI,,,
PCFSV.IN.NO.DISS,,,,,,,discard,,,,FSI,,,
FB.FS.CRLS.KCD.NO,,,POPULATION,,,,weighted.mean,0,15,,FSI,,,
FB.FS.CRLS.KCD.IMP,,,POPULATION,,,,weighted.mean,0,15,,FSI,,,
FB.FS.SR.KCD.NO,,,POPULATION,,,,weighted.mean,0,15,,FSI,,,
FB.FS.SR.KCD.IMP,,,POPULATION,,,,weighted.mean,0,15,,FSI,,,
FB.FS.CRLSSR.KCD.NO,,,POPULATION,,,,weighted.mean,0,15,,FSI,,,
FB.FS.CRLSSR.KCD.IMP,,,POPULATION,,,,weighted.mean,0,15,,FSI,,,
FB.FS.CRLSSR.KCD.AV3Y,,,AV3YPOP,,,,weighted.mean,0,15,,FSI,,,
FB.FS.CRLSSR.KCD.IMPAV3Y,,,AV3YPOP,,,,weighted.mean,0,15,,FSI,,,
FB.SDES.CRLSSR.KCD.AV3Y,,,AV3YPOP,,,,weighted.mean,0,15,,FSI,,,
FB.SDES.CRLSSR.KCD.IMPAV3Y,,,AV3YPOP,,,,weighted.mean,0,15,,FSI,,,
FB.SDES.CRLSSR.KCD.AV3Y.DISS,,,,,,,discard,,,,FSI,,,
FB.PSQ.GT.GCD.NO,,,POPULATION,,,,weighted.mean,0,15,,FSI,,,
FB.PSQ.GT.GCD.IMP,,,POPULATION,,,,weighted.mean,0,15,,FSI,,,
FB.PSQ.GT.GCD.AV3Y,,,AV3YPOP,,,,weighted.mean,0,15,,FSI,,,
FB.PSQ.GT.GCD.IMPAV3Y,,,AV3YPOP,,,,weighted.mean,0,15,,FSI,,,
FB.PSQ.GT.GCD.AV3Y.DISS,,,,,,,discard,,,,FSI,,,
FB.PSQ.AO.GCD.NO,,,POPULATION,,,,weighted.mean,0,15,,FSI,,,
FB.PSQ.AO.GCD.IMP,,,POPULATION,,,,weighted.mean,0,15,,FSI,,,
FB.PSQ.AO.GCD.AV3Y,,,AV3YPOP,,,,weighted.mean,0,15,,FSI,,,
FB.PSQ.AO.GCD.IMPAV3Y,,,AV3YPOP,,,,weighted.mean,0,15,,FSI,,,
FB.PSQ.AO.GCD.AV3Y.DISS,,,,,,,discard,,,,FSI,,,
FB.FSQ.GT.GCD.NO,,,POPULATION,,,,weighted.mean,0,15,,FSI,,,
FB.FSQ.GT.GCD.IMP,,,POPULATION,,,,weighted.mean,0,15,,FSI,,,
FB.FSQ.GT.GCD.AV3Y,,,AV3YPOP,,,,weighted.mean,0,15,,FSI,,,
FB.FSQ.GT.GCD.IMPAV3Y,,,AV3YPOP,,,,weighted.mean,0,15,,FSI,,,
FB.FSQ.GT.GCD.AV3Y.DISS,,,,,,,discard,,,,FSI,,,
ADECUP,,,POPULATION,,,,weighted.mean,0,15,,FSI,,,
AV3YADECUP,,,AV3YPOP,,,,weighted.mean,0,15,,FSI,,,
DOH,,,POPULATION,,,,weighted.mean,0,15,,FSI,,,
AV3YDoH,,,AV3YPOP,,,,weighted.mean,0,15,,FSI,,,
DOFD,,,POPULATION,,,,weighted.mean,0,15,,FSI,,,
AV3YDoFD,,,AV3YPOP,,,,weighted.mean,0,15,,FSI,,,
AV3YDoFD.DISS,,,,,,,discard,,,,FSI,,,
PoFI,,,POPULATION,,,,weighted.mean,0,15,,FSI,,,
AV3YPoFI,,,AV3YPOP,,,,weighted.mean,0,15,,FSI,,,
AV3YPoFI.DISS,,,,,,,discard,,,,FSI,,,
TI.IV.FEF.USD.NO,,,,,,,sum,0,0,,FSI,,,
TI.EV.TMT.USD.NO,,,,,,,sum,0,0,,FSI,,,
TI.EV.TMT.USD.AV3Y,,,,,,,sum,0,0,,FSI,,,
TI.IV.FEFTMT.USD.NO,,,TI.EV.TMT.USD.NO,,,,weighted.mean,0,15,,FSI,,,
TI.IV.FEFTMT.USD.AV3Y,,,TI.EV.TMT.USD.AV3Y,,,,weighted.mean,0,15,,FSI,,,
TI.IV.FEFTMT.USD.AV3Y.DISS,,,,,,,discard,,,,FSI,,,
RL.AREA.ARBL.HA.NO,,,,,,,sum,0,0,,FSI,,,
RL.AREA.ARBL.HA.AV3Y,,,,,,,sum,0,0,,FSI,,,
RL.AREA.EQIRR.HA.NO,,,,,,,sum,0,0,,FSI,,,
RL.AREA.EQIRR.HA.SHL,,,RL.AREA.ARBL.HA.NO,,,,weighted.mean,0,15,,FSI,,,
RL.AREA.EQIRR.HA.SHLAV3Y,,,RL.AREA.ARBL.HA.AV3Y,,,,weighted.mean,0,15,,FSI,,,
RL.AREA.EQIRR.HA.SHLAV3Y.DISS,,,,,,,discard,,,,FSI,,,
FB.PROD.CRLS.TN.NO,,,,,,,sum,0,0,,FSI,,,
FB.PROD.CRLS.TN.IMP,,,,,,,sum,0,0,,FSI,,,
FB.IMP.CRLS.TN.NO,,,,,,,sum,0,0,,FSI,,,
FB.IMP.CRLS.TN.IMP,,,,,,,sum,0,0,,FSI,,,
FB.EXP.CRLS.TN.NO,,,,,,,sum,0,0,,FSI,,,
