Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1989,664655,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1990,673267,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1991,678889,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1992,684381,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1993,688794,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1994,693044,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1995,697393,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1996,701521,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1997,705299,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1998,708075,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,1999,712450,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,2000,715766,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,2001,719935,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,2002,723789,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,2003,727604,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,2004,731629,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,2005,734837,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,2006,737217,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,2007,742148,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,2008,745529,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,2009,748761,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,2010,751816,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,2011,754701,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,2012,757379,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,2013,759781,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,2014,761779,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,2015,763288,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,2016,764267,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,2017,764747,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,2018,764806,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,2019,764565,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,602,Male economically active population in Agr,3010,Population - Est. & Proj.,2020,764105,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,1980,389490,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,1981,397709,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,1982,405861,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,1983,414710,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,1984,423612,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,1985,432612,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,1986,444323,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,1987,454743,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,1988,464909,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,1989,474079,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,1990,481799,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,1991,487122,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,1992,491840,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,1993,496015,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,1994,501647,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,1995,505397,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,1996,509410,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,1997,512802,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,1998,516557,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,1999,520371,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2000,522822,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2001,526969,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2002,530912,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2003,534861,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2004,538928,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2005,544044,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2006,548688,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2007,551039,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2008,554813,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2009,558393,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2010,561728,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2011,564801,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2012,567593,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2013,570049,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2014,572131,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2015,573809,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2016,575058,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2017,575898,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2018,576359,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2019,576534,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2020,576451,A,"Aggregate, may include official, semi-official, estimated or calculated data"
,,,,,,,,,,,
FAOSTAT Date: Fri Jun 05 10:01:01 CEST 2015,,,,,,,,,,,
